email|amount|accountA|accountB
we need to do the following today my friend. Please take $1769075 from MPZSJEAA and put this in account IQP|1769075|MPZSJEAA|IQP
we need to do the following today my friend. Please take $2913034 from A32K and put this in account UQPQU4CYDFLL|2913034|A32K|UQPQU4CYDFLL
We will be transferring $1448443from VOQ89554QZX to account 6XZA. Please confirm when this is finished.|1448443|VOQ89554QZX|6XZA
Do the following Andrea Rivera. Move $722240 from this account called 9U6FN2U6KG7I to account T00UKF4WX. Thanks. We need this done ASAP. We have a client waiting.|722240|9U6FN2U6KG7I|T00UKF4WX
Hi ,Darrell Hartman please transfer 5202176 from account 3MK894KYY661 to account 9SZZ7LZ9.|5202176|3MK894KYY661|9SZZ7LZ9
It's that time again! Move 8173078 from 4EBVWBWP78JE to account BSWE4P0Cool?|8173078|4EBVWBWP78JE|BSWE4P0
Hey!! Alyssa Brown. Can we do the following? I need to transfer $6211655 from this account I have called J761VWN291EL to my other account titled CVG448Y6H. Thanks! Best Regards, Jeffrey Caldwell|6211655|J761VWN291EL|CVG448Y6H
Time to move 6259422 in USD from account X6RYW to 4E1HOM. Let me know when this is done, thanks!|6259422|X6RYW|4E1HOM
Hey Mrs. Sabrina Johnson MD, we need to do the following. We need to transfer 377070 from account UNXJQ into BKR1D17H. We need this done ASAP. Thank you.|377070|UNXJQ|BKR1D17H
Hey!! Marc Mcdonald It's Melinda Smith. Can you help me do something? I need to transfer $5167706 from this account I have called CXOMO0XX8N4L to my other account titled SJFSOKTV. Can you do this for me?|5167706|CXOMO0XX8N4L|SJFSOKTV
Hey!! Kristin Acosta. Can we do the following? I need to transfer $3178193 from this account I have called EQK548 to my other account titled 8A0MQ. Thanks! Best Regards, Rickey Sharp|3178193|EQK548|8A0MQ
It's that time again! Move 4759946 from O208Y68 to account 6FZVCool?|4759946|O208Y68|6FZV
We need to remove 9841831 from 4J3G49M and deposit this into M2A01. Thanks :D|9841831|4J3G49M|M2A01
Hi ,Sharon Bradley please transfer 6422877 from account M0A1Y4X1X88Z to account D46CBUO.|6422877|M0A1Y4X1X88Z|D46CBUO
Time to move 5398040 in USD from account 58TK9TD to 8MOGK8F. Let me know when this is done, thanks!|5398040|58TK9TD|8MOGK8F
Please do the following: take account OEQHTVUM and move $7649128 to account V4S0.|7649128|OEQHTVUM|V4S0
Steven Petersen I need you to do the following. Please transfer $4831161 from FAU55QRBto 9IGYD9. Thank you so much.|4831161|FAU55QRB|9IGYD9
It's that time again! Move 7016738 from U6Q01M to account D0U8B17PPN8Cool?|7016738|U6Q01M|D0U8B17PPN8
Hi, can you please assist me with the following? I need $657455 moved into 18PTTYOPE6VLfrom 2MI96. Thank you very much :D|657455|2MI96|18PTTYOPE6VL
Hi, can you please assist me with the following? I need 4280351 moved into 3NQOP5Q from TTAP0EQLOMX. Thank you!|4280351|TTAP0EQLOMX|3NQOP5Q
We will be transferring $6017764from account UO4S8to account FX21FA9JIDP. This needs to be done today. Thanks!|6017764|UO4S8|FX21FA9JIDP
Hey Frederick Kelly! Please move $7346984 from account CYKSSTMS7V to account KM5X. Thanks! Send me an email back when it's done! Thanks :D :D|7346984|CYKSSTMS7V|KM5X
Hi this is Reginald Young. I need you to do the following. Please help me transfer 9038407 from 9EW7UJW into 240T. Thanks.|9038407|9EW7UJW|240T
Hi, can you please assist me with the following? I need 4035779 moved into F1CMZ from GPY9KPH. Thank you!|4035779|GPY9KPH|F1CMZ
we need to do the following today my friend. Please take $4637075 from 6TGWS and put this in account AEX|4637075|6TGWS|AEX
we need to do the following today my friend. Please take $1980905 from HE8 and put this in account CFXJ|1980905|HE8|CFXJ
Hey Nicholas Daugherty! Please move $5826197 from account 3RI8U3 to account 3CU6RM6X. Thanks! Send me an email back when it's done! Thanks :D :D|5826197|3RI8U3|3CU6RM6X
Hi this is Ann White. I need you to do the following. Please help me transfer 2085596 from NFLUKEG6 into 5D6FN25QUW4H. Thanks.|2085596|NFLUKEG6|5D6FN25QUW4H
Please do the following: take account Q5MCHLUF and move $5961901 to account G6V5.|5961901|Q5MCHLUF|G6V5
This needs immediate attention. Please carefully move 5813755 in the form of US dollars from HKWPXM0F51 into account LJKV2Z. Sincerely.|5813755|HKWPXM0F51|LJKV2Z
We need to take the following action immediately! Move $1960420 into account QNGMFT54Y2Z4 from account TLU!|1960420|TLU|QNGMFT54Y2Z4
move $3212412 from L6K1IS9QKNJ into account MGPG64Q0.|3212412|L6K1IS9QKNJ|MGPG64Q0
we need to do the following today my friend. Please take $2526835 from OYPKVBH15 and put this in account IGQ|2526835|OYPKVBH15|IGQ
Please do the following: take account O5QV7RAE3D and move $2868508 to account APNAULJUWDPK.|2868508|O5QV7RAE3D|APNAULJUWDPK
Let's move $3557645 into XXUF0A824F5 from account UDANHC. Thanks.|3557645|UDANHC|XXUF0A824F5
Please move $9363047 into account XXU3R7ISF7 from 8ZBMMZYQ|9363047|8ZBMMZYQ|XXU3R7ISF7
Let's move $2045848 from account 950FIG26MQ to account NXQIVU8. Sound good?|2045848|950FIG26MQ|NXQIVU8
The following action needs to be taken. Please move 4717593 from U3Q to account Q2G926ZT. Thank you very much.|4717593|U3Q|Q2G926ZT
Account RYRILHDZHDT needs $1384566 transferred to Y3S.|1384566|RYRILHDZHDT|Y3S
Account J7GCRRG29J4U needs $4515952 transferred to UUE4ZVTPE9E.|4515952|J7GCRRG29J4U|UUE4ZVTPE9E
Today we need to move $6806294 from account WJSJDC to this account titled BIGORE.Thanks so much.|6806294|WJSJDC|BIGORE
We need to take the following action immediately! Move $8550643 into account DBGS from account EW3KAH!|8550643|EW3KAH|DBGS
We will be transferring $8996141from WEUBL8O1J7 to account 0WN0K3RO. Please confirm when this is finished.|8996141|WEUBL8O1J7|0WN0K3RO
Hi ,Derrick Short please transfer 7797815 from account OO90MJ9C0L7A to account XLB.|7797815|OO90MJ9C0L7A|XLB
Let's move $2013029 from account ZLG9E3419DY1 to account WL7AJLDMYWPF. Sound good?|2013029|ZLG9E3419DY1|WL7AJLDMYWPF
It's that time again! Move 1448142 from WHE to account 391YXUCool?|1448142|WHE|391YXU
Hey!! David Shaw. Can we do the following? I need to transfer $9400512 from this account I have called N6D1N0R to my other account titled BU1. Thanks! Best Regards, Harold Walker|9400512|N6D1N0R|BU1
Hi, can you please assist me with the following? I need $7532627 moved into W27OXN35from KR3F. Thank you very much :D|7532627|KR3F|W27OXN35
Hi, can you please assist me with the following? I need $1702142 moved into VCO5M1L1Jfrom S1CI2A2YID. Thank you very much :D|1702142|S1CI2A2YID|VCO5M1L1J
Time to move 6626519 in USD from account OEYK8WU9S3K to U7RWID2SIUDJ. Let me know when this is done, thanks!|6626519|OEYK8WU9S3K|U7RWID2SIUDJ
Let's move $1709163 into DTR from account DIBK5. Thanks.|1709163|DIBK5|DTR
Hey!! Savannah Gonzalez. Can we do the following? I need to transfer $9055361 from this account I have called TJLWJ to my other account titled 2N2T8AZ9C. Thanks! Best Regards, Erik Moreno|9055361|TJLWJ|2N2T8AZ9C
